player_name,psi_log_avg,psi_log_sr,psi_combined,rank
RN ten Doeschate,0.9381738792109315,0.2238168771761419,0.7000548785326682,1
DL Chahar,0.8472286442401376,0.3953189096433471,0.6965920660412074,2
AJ Finch,0.9043770316806415,0.21058984964068053,0.6731146376673212,3
GC Smith,0.8829272911270769,0.23474876238549233,0.6668677815465487,4
MD Patel,0.8557470581225615,0.23812107567366678,0.6498717306395966,5
G Singh,0.8578000913620286,0.1679355362413744,0.6278452396551438,6
A Symonds,0.7722099923845548,0.32321414029283724,0.6225447083539822,7
AR Nurse,0.8027465678780996,0.25148096098603206,0.6189913655807437,8
Milind Kumar,0.8130158676917852,0.1979228011328183,0.607984845505463,9
N Dutta,0.8072429622824264,0.20000385313149877,0.6048299258987838,10
JH Kallis,0.8115397276372246,0.11026604392532226,0.5777818330665905,11
Asif Khan,0.7492268932801273,0.21484130442627536,0.5710983636621766,12
Mohammad Nadeem,0.815062204925141,0.07271608337596791,0.5676134977420834,13
JWA Taylor,0.7865140139276129,0.12519966070924418,0.5660758961881567,14
CE McConchie,0.6983895377930079,0.22476542712975237,0.5405148342385894,15
Jatinder Singh,0.7252050571998375,0.1564373984856073,0.5356158376284275,16
OF Smith,0.5774933104227399,0.4514881673140626,0.5354915960531809,17
Sarfaraz Ahmed,0.6864895539117809,0.22313497567231572,0.5320380278319592,18
V Kohli,0.6924901459397684,0.1686748747908738,0.5178850555568035,19
NO Miller,0.7473881122172875,0.050486176903059045,0.5150874671125447,20
BJ Bennett,0.6728766690242416,0.1846002622700469,0.5101178667728433,21
Afif Hossain,0.6585699058147018,0.205824092192909,0.5076546346074375,22
C Green,0.6674227815187058,0.1443464202283644,0.49306399442192533,23
BC Broad,0.749045848279302,-0.04089542236235561,0.48573209139874945,24
MJG Rippon,0.6752877406177002,0.10609008000793478,0.4855551870811117,25
SV Samson,0.5893636077752644,0.2733670799639054,0.48403143183814473,26
Shahid Afridi,0.4985235396755972,0.4545624541067438,0.4838698444859794,27
TM Dilshan,0.6176124205968305,0.21524134814016738,0.4834887297779428,28
KP Pietersen,0.6041776870163972,0.23065968227214984,0.4796716854349814,29
SA Yadav,0.5888650316418719,0.24604038395055644,0.4745901490781001,30
AB de Villiers,0.5920547092327647,0.22543693788238311,0.46984878544930414,31
Tayyab Tahir,0.5808123628359249,0.24524663479745668,0.4689571201564355,32
HM Amla,0.6124321651998402,0.16899911625596206,0.46462114888521416,33
JD Campbell,0.6087012799304108,0.17520487651704428,0.46420247879262194,34
MS Dhoni,0.5945261253244355,0.1958182655120418,0.4616235053869709,35
AC Voges,0.6214187442996858,0.12216127239864506,0.4549995869993389,36
L Klusener,0.5685256477044911,0.22349595934284328,0.4535157515839418,37
SR Watson,0.5761451196831185,0.2024226465693831,0.45157096197854,38
Aasif Sheikh,0.6058824987829872,0.14118652404038223,0.4509838405354522,39
SR Mukkamalla,0.577498588949238,0.1912880908066006,0.4487617562350255,40
MW Forde,0.4784090607247665,0.38013183812772483,0.4456499865257526,41
F Behardien,0.5580726222208036,0.2198137071608318,0.4453196505341463,42
Shoaib Malik,0.5941889217294835,0.13785626275322377,0.4420780354040636,43
BJ Hodge,0.5826256747151812,0.15545737830200126,0.4402362425774546,44
Aamer Malik,0.6861876083919838,-0.052129528553346995,0.44008189607687354,45
F du Plessis,0.5783704063516754,0.15291419066592343,0.43655166778975807,46
ML Hayden,0.5610109624382801,0.18608489037336173,0.43603560508330724,47
RT Ponting,0.5579044577707126,0.1827937303207729,0.43286754862073273,48
CN Greaves,0.5602257928819983,0.1775711886304612,0.4326742581314859,49
JP Greaves,0.5787367753575117,0.13581190557641037,0.4310951520971446,50
RD Berrington,0.565048555732005,0.15263746912185144,0.4275781935286205,51
