player_idx,player_name,psi_log_avg,psi_log_sr,psi_combined,rank
1291,V Kohli,0.9091642787108564,0.21906160930747814,0.5641129440091672,1
1040,RN ten Doeschate,0.9334885423065824,0.19259758111008415,0.5630430617083333,2
456,HC Brook,0.7060249710249588,0.37692874584581365,0.5414768584353862,3
778,ML Hayden,0.8675943843159244,0.20706550909484484,0.5373299467053846,4
17,A Symonds,0.7499258082338212,0.29652005382478397,0.5232229310293026,5
1332,YBK Jaiswal,0.710824988259998,0.30434656982177666,0.5075857790408873,6
296,DA Warner,0.7128702339847153,0.28731680817024513,0.5000935210774802,7
33,AC Voges,0.8306050106305488,0.15960097037557558,0.49510299050306217,8
1161,SV Samson,0.7142031812666433,0.273806741595569,0.49400496143110617,9
554,JE Root,0.7979407288066671,0.18689160333090932,0.49241616606878824,10
826,Milind Kumar,0.8115224836663468,0.17112267127779207,0.4913225774720694,11
1257,TM Head,0.6496372784723797,0.3254769547725789,0.4875571166224793,12
752,MEK Hussey,0.8033579227084258,0.16868612700751376,0.48602202485796975,13
659,KP Pietersen,0.7376444381832558,0.22829185033678054,0.48296814426001816,14
196,Babar Azam,0.7889003129210671,0.1730541611869953,0.48097723705403117,15
1210,Shubman Gill,0.7037300790530034,0.250115495811992,0.4769227874324977,16
180,BM Duckett,0.5923658148905248,0.3549200610335268,0.4736429379620258,17
25,AB de Villiers,0.7195834619101402,0.2180803946446756,0.46883192827740794,18
663,KS Williamson,0.7956730836479609,0.1389353257465059,0.4673042046972334,19
989,Q de Kock,0.6488699188220837,0.28194999587800196,0.4654099573500428,20
294,DA Miller,0.66891820025839,0.256406141163016,0.46266217071070304,21
320,DJ Mitchell,0.7114500071063864,0.2136989047341223,0.46257445592025437,22
804,MS Dhoni,0.7295577127218409,0.18838589309939732,0.4589718029106191,23
470,HM Amla,0.7530251306474226,0.1616645445638233,0.45734483760562294,24
1019,RG Sharma,0.6946473960320223,0.21997957066740892,0.4573134833497156,25
647,KL Rahul,0.7185285565474736,0.19059395079362826,0.45456125367055095,26
