parameter,beta_log_avg,beta_log_sr,exp_beta_log_avg,exp_beta_log_sr
Intercept,3.038687050644855,3.8138827581663812,20.87781372019037,45.32608788219713
format_odi,-0.1071808198848511,0.45399173196803,0.8983632163697161,1.5745849787022557
format_t20,-0.33682926770062627,0.8460195763895794,0.7140307376061414,2.3303525762051613
