parameter,beta_log_econ,beta_log_avg,exp_beta_log_econ,exp_beta_log_avg
Intercept,1.1160293482734898,3.5360828334341665,3.0527088630742734,34.33217061598246
format_odi,0.4597044591840148,-0.06335622951000051,1.5836058956495362,0.9386090538842209
format_t20,0.8724240880389214,-0.3848102017089674,2.3927039542305555,0.6805797968293165
