player_name,psi_log_econ,psi_log_avg,psi_combined,econ_multiplier,avg_multiplier,rank
IG Holland,-0.23438357012528116,-0.26832852242442906,0.25701353832471313,0.7910583313522411,0.7646565330167263,1
BJ Currie,-0.12410859565693447,-0.3100826271861151,0.24809128334305489,0.8832839148772756,0.7333863560697763,2
GJ Gilmour,-0.10965201347135249,-0.30657736949681413,0.24093558415499358,0.8961459277541551,0.7359615749998236,3
J Garner,-0.222976498022371,-0.22538245787343306,0.22458047125641237,0.8001336537968136,0.7982108783380946,4
JA Snow,-0.26456223120630784,-0.2038322843992786,0.22407560000162166,0.7675418823240746,0.8155991484182592,5
AH Gray,-0.11020977345846693,-0.267218736677431,0.214882415604443,0.8956462327809237,0.7655056089974828,6
AG Hurst,-0.25695679536389315,-0.18566276489608521,0.20942744171868788,0.773401627579512,0.8305536396017983,7
AC Botha,-0.11622476534371395,-0.24886283162038278,0.20465014286149316,0.8902750978193178,0.7796869144407296,8
M Hendrick,-0.25881385943265456,-0.17421793054178475,0.202416573505408,0.7719667039911148,0.8401137912532285,9
GG Arnold,-0.25283823723309923,-0.17297752614953607,0.19959776317739045,0.7765934955762513,0.8411565186580188,10
Shakeel Ahmed,-0.17930183146684714,-0.19095901626419004,0.18707328799840908,0.8358535744087072,0.8261664468447538,11
RL Johnson,-0.0878226628443521,-0.23518557515621114,0.18606460438559147,0.9159232895529463,0.790424152931872,12
CEL Ambrose,-0.21179694295094556,-0.17255416032854562,0.1856350878693456,0.8091289802295888,0.8415127109726275,13
AY Patel,-0.1433138140069104,-0.20648377281516395,0.18542711987907942,0.866482112002296,0.8134394611823531,14
ST Clarke,-0.21701955602404033,-0.16405360091351334,0.181708919283689,0.8049142282290879,0.8486965297517175,15
Sir RJ Hadlee,-0.1787872584868553,-0.18178877793350395,0.18078827145128773,0.8362837927532024,0.8337774340102636,16
DL Underwood,-0.25945789884366555,-0.13970352747754616,0.17962165126625262,0.7714696870761765,0.8696160144380833,17
S Lamichhane,-0.05398623841178186,-0.229323618860019,0.17087782537727328,0.947445144762026,0.7950711918342954,18
GD McGrath,-0.13699665980392656,-0.18244021668596072,0.16729236439194936,0.8719731386884991,0.8332344559565004,19
MA Holding,-0.1558743177739002,-0.17227289624597864,0.16680670342195247,0.8556667257121234,0.8417494315621867,20
CEH Croft,-0.12998556461169658,-0.17733408023492916,0.16155124169385163,0.8781081066605635,0.8374999456026904,21
DK Lillee,-0.13047699992119352,-0.1757642668176265,0.16066851118548217,0.8776766793493849,0.8388156967259693,22
XC Bartlett,0.004773377319823402,-0.24050586229172502,0.1587461157545422,1.004784788033999,0.7862300363247708,23
Rashid Khan,-0.10962843527795268,-0.17995258887690938,0.15651120434392382,0.8961670575052539,0.8353098134488603,24
AME Roberts,-0.1486050451627183,-0.1600681375621965,0.15624710676237044,0.8619094629951793,0.852085727943881,25
G Dymock,-0.2792823263007239,-0.09097288139442003,0.153742696363188,0.7563263422511797,0.9130424710021834,26
AIC Dodemaide,-0.17765075984236484,-0.14029983845674973,0.1527501455852881,0.8372347684390057,0.869097607442236,27
BM Scholtz,-0.1734820590712929,-0.14177758079539943,0.15234574022069725,0.8407322345436576,0.8678142535780105,28
JJ Bumrah,-0.04917752402457665,-0.1980030050866996,0.14839451139932527,0.9520121096752361,0.8203673878590008,29
MHN Walker,-0.26190234196228296,-0.0911997281755872,0.14810059943781914,0.7695861763137211,0.9128353737471286,30
MD Marshall,-0.14991565632177725,-0.14472188019808166,0.1464531389059802,0.8607805747632276,0.8652629063976651,31
Wasim Akram,-0.1271239587276306,-0.15217941903955687,0.14382759893558145,0.8806245047380146,0.8588341757139037,32
CM Old,-0.1646928653544817,-0.12986420484259248,0.14147375834655554,0.8481541616158759,0.878214680124371,33
AA Donald,-0.06285905156807069,-0.18044154751979827,0.14124738220255575,0.9390758256265999,0.8349014813329786,34
Kaleem Sana,-0.0724841944403027,-0.17449641264405677,0.14049233990947207,0.9300804469861329,0.8398798671718393,35
M Muralidaran,-0.14189877438793075,-0.13844599404582236,0.13959692082652517,0.8677090864238908,0.8707102735384983,36
RGD Willis,-0.16109796585380948,-0.1253781964266273,0.13728478623568802,0.8512086776374869,0.8821632085144582,37
Ehsan Khan,-0.07015231319843693,-0.1665565305356003,0.1344217914232125,0.9322518148359332,0.8465749582468982,38
Asif Iqbal,-0.17989500073880751,-0.11166645019110766,0.13440930037367427,0.8353579187708897,0.894342515530777,39
SM Pollock,-0.11743912751834781,-0.14036138233525805,0.1327206307296213,0.8891946375833059,0.8690441214505562,40
Saeed Ajmal,-0.10896531255115817,-0.14452199978475652,0.1326697707068904,0.8967615233282051,0.865435872790752,41
RJ Harris,-0.005583412331345797,-0.19594192900463048,0.13248909011353557,0.9944321459457253,0.8220599711328985,42
DR Hadlee,-0.12825917702704423,-0.13292775901746745,0.13137156502065972,0.8796253709101268,0.8755283388516739,43
TM Odoyo,-0.17262886640899966,-0.11023277916975488,0.13103147491616982,0.8414498472045205,0.8956256280392905,44
PS de Villiers,-0.16912214438039908,-0.1106401058105098,0.13013411866713956,0.8444057576687518,0.8952608901496198,45
TM Alderman,-0.1369878518809644,-0.12140888591764826,0.12660187457208696,0.8719808189945535,0.885671746841133,46
Simranjeet Singh,-0.0766025893028731,-0.15159252760095684,0.1265958815015956,0.9262578852636948,0.859338366076839,47
LS Pascoe,-0.056510088704006735,-0.16153586174207404,0.12652727072938494,0.9450569500472132,0.8508360184564107,48
DR Doshi,-0.1836893029331497,-0.0947850509366174,0.12441980160212818,0.8321943239993785,0.9095684243381904,49
JA Duffy,0.03891372734186615,-0.20582449835341327,0.12424508978832012,1.039680783756064,0.8139759178619547,50
CR Matthews,-0.18248881307527423,-0.09346411508953498,0.12313901441811474,0.8331939647543604,0.9107706997648095,51
CG Rackemann,-0.14029420169064827,-0.11349929251336394,0.12243092890579205,0.8691025063559754,0.8927048279876973,52
K Gore,-0.14586922888970338,-0.10905969789968924,0.12132954156302729,0.8642707174362981,0.8966768861735931,53
VD Philander,-0.05086708012526888,-0.15592677517273662,0.1209068768235807,0.9504049898492617,0.8556218408387039,54
MG Erasmus,-0.08087162017203912,-0.1376997776718351,0.11875705850523645,0.9223120901119,0.8713602542845882,55
EJ Chatfield,-0.22221694234817377,-0.06565585260639996,0.11784288252032456,0.8007416307206024,0.9364530867314595,56
HJ Howarth,-0.26911559467679497,-0.04209303045705968,0.11776721853030477,0.7640549298606311,0.9587805806277573,57
RO Collinge,-0.19029233663469616,-0.08016604093113028,0.11687480616565223,0.8267174188259275,0.9229630840132059,58
Sarfraz Nawaz,-0.17975034656602404,-0.08463941245151774,0.11634305715635318,0.8354787655198902,0.9188435482155545,59
Hamid Hassan,-0.045836407155329384,-0.14985293322340873,0.11518075786738229,0.9551982130024982,0.8608345672811635,60
PP Ojha,-0.08527254935443176,-0.12988836963780317,0.11501642954334605,0.9182619785832001,0.8781934585028839,61
TJ Murtagh,-0.09189348164303641,-0.12564393602860777,0.11439378456675064,0.9122023106616274,0.8819288139598829,62
Kuldeep Yadav,0.06456618844572426,-0.20129530459830036,0.11267480691695882,1.0666961788702898,0.8176709339112517,63
Basil Hameed,-0.0399374114737396,-0.14836975390232415,0.11222563975946263,0.9608495754292672,0.8621122866194505,64
NK Patel,-0.09059273600727001,-0.12243826333787856,0.11182308756100905,0.9133896258662865,0.8847605254190395,65
JJ Smit,-0.04294314023802405,-0.14545654737528305,0.11128541166286338,0.9579658582291726,0.8646274595902221,66
CV Varun,0.03716732222956906,-0.1838425336417716,0.11017258168465804,1.0378666644748271,0.8320668160427177,67
SR Clark,-0.05782315666165771,-0.13629152651766432,0.11013540323232879,0.9438168404002493,0.8725882128024454,68
CA Walsh,-0.15058182720497568,-0.0891815482806399,0.10964830792208517,0.8602073387652625,0.9146795000091598,69
SE Bond,0.006261213934949264,-0.16542807293006564,0.10819831064172734,1.0062808563085546,0.8475308214212873,70
A Vala,-0.10696332405521533,-0.10839618186516059,0.10791856259517885,0.8985586278725978,0.8972720430916046,71
BAW Mendis,-0.016396944420862033,-0.15158531650103055,0.10652252580764104,0.9837367537278618,0.8593445628740101,72
Milind Kumar,-0.017535567501517888,-0.14970866487845835,0.10565096575281153,0.9826172858017329,0.8609587674183199,73
SK Warne,-0.08667664231700334,-0.11445155441221627,0.10519325038047862,0.9169735581439845,0.8918551438182215,74
Saqlain Mushtaq,-0.08491783982678307,-0.11503646741387817,0.10499692488484647,0.9185877526300446,0.8913336386814389,75
Aamir Kaleem,-0.08048129818541983,-0.11554353566430318,0.10385612317134207,0.9226721590660388,0.8908817862624171,76
VA Holder,-0.15873076602993896,-0.07372294232560037,0.1020588835603799,0.853226045483623,0.9289290251072185,77
P Lever,-0.18740771657987687,-0.057997041493418805,0.10113393318890483,0.8291056273530174,0.9436527392355081,78
ARC Fraser,-0.16479206414563916,-0.06775950670806109,0.10010369252058711,0.8480700299212786,0.934485183973621,79
JK Lever,-0.15161980951264087,-0.07369502862448085,0.09966995558720086,0.85931492200323,0.928954955316289,80
IR Bishop,-0.06130068591236502,-0.11836720834435263,0.09934503420035677,0.9405403900083847,0.8883697759179331,81
AD Mullally,-0.1762590575407029,-0.0584275891733575,0.09770474529580597,0.8384007611624574,0.9432465391884812,82
Bilal Khan,0.014705622279430362,-0.15284425448191633,0.09699429556146744,1.0148142819252783,0.8582633820777239,83
T van der Gugten,-0.10950550162653037,-0.090076956092115,0.09655313793692012,0.8962772333659391,0.9138608554049382,84
