player_idx,player_name,psi_log_avg,psi_log_sr,psi_combined,rank,avg_multiplier,sr_multiplier
1040,RN ten Doeschate,0.9334885423065824,0.1925975811100841,0.6865248885744163,1,2.543366360456316,1.212394804766285
1291,V Kohli,0.9091642787108564,0.2190616093074781,0.6791300555763969,2,2.4822471994757223,1.2449079722429708
778,ML Hayden,0.8675943843159244,0.2070655090948448,0.6474180925755645,3,2.381175764314565,1.2300631494649616
33,AC Voges,0.8306050106305488,0.1596009703755755,0.6069369972122244,4,2.294706642286683,1.1730426988031986
17,A Symonds,0.7499258082338212,0.2965200538247839,0.5987905567641421,5,2.116842958468724,1.3451695355209394
826,Milind Kumar,0.8115224836663468,0.171122671277792,0.5980558795368286,6,2.2513329964687845,1.1866363062856478
456,HC Brook,0.7060249710249588,0.3769287458458136,0.596326229298577,7,2.025922132588513,1.4578004313336919
554,JE Root,0.7979407288066671,0.1868916033309093,0.5942576869814146,8,2.2209626517434375,1.205496606150767
752,MEK Hussey,0.8033579227084258,0.1686861270075137,0.5918006574747884,9,2.23302668417539,1.183748533913941
196,Babar Azam,0.7889003129210671,0.1730541611869953,0.5836182623430431,10,2.200974711484488,1.1889304972272237
663,KS Williamson,0.7956730836479609,0.1389353257465059,0.5767604976808092,11,2.215932002557903,1.149049783663468
1332,YBK Jaiswal,0.710824988259998,0.3043465698217766,0.5753321821139242,12,2.035669969919407,1.3557388328454212
296,DA Warner,0.7128702339847153,0.2873168081702451,0.5710190920465585,13,2.039837675760794,1.3328464032257872
659,KP Pietersen,0.7376444381832558,0.2282918503367805,0.5678602422344307,14,2.09100421909182,1.2564519678573518
1161,SV Samson,0.7142031812666433,0.273806741595569,0.5674043680429518,15,2.042558484790925,1.3149606504838323
470,HM Amla,0.7530251306474226,0.1616645445638233,0.5559049352862228,16,2.1234139147921467,1.1754658587634492
1210,Shubman Gill,0.7037300790530034,0.250115495811992,0.5525252179726663,17,2.0212781908610444,1.2841737248101788
25,AB de Villiers,0.7195834619101402,0.2180803946446756,0.552415772821652,18,2.053577639160008,1.2436870493784316
561,JH Kallis,0.7911822993240687,0.0740912796173708,0.552151959421836,19,2.20600304095712,1.0769051004955046
846,Mohammad Rizwan,0.7502028855948174,0.1551071859347537,0.5518376523747962,20,2.117429568993795,1.167783124322907
804,MS Dhoni,0.7295577127218409,0.1883858930993973,0.5491671061810264,21,2.0741630288518715,1.2072993139437513
320,DJ Mitchell,0.7114500071063864,0.2136989047341223,0.5455329729822983,22,2.0369426997142552,1.2382497675159991
647,KL Rahul,0.7185285565474736,0.1905939507936282,0.5425503546295252,23,2.0514124513307217,1.2099680457557627
1257,TM Head,0.6496372784723797,0.3254769547725789,0.5415838372391127,24,1.9148461471138336,1.384690923451476
635,KC Sangakkara,0.744794103439324,0.1289514987817104,0.5395132352201194,25,2.1060077705805353,1.137634946146785
1145,SR Mukkamalla,0.7116791988262166,0.1909147108214785,0.5380910361579706,26,2.0374096036180087,1.2103562173914615
1019,RG Sharma,0.6946473960320223,0.2199795706674089,0.5364247875771512,27,2.0030026827165237,1.2460512743314456
294,DA Miller,0.66891820025839,0.256406141163016,0.5314141805599321,28,1.9521243703080542,1.2922774684471054
341,DP Conway,0.7052194022185638,0.1699558222443561,0.5267982088938279,29,2.0242907700899067,1.1852524883689277
989,Q de Kock,0.6488699188220837,0.2819499958780019,0.5265632778407231,30,1.9133773350696366,1.3257124272434044
380,F du Plessis,0.7076741207277475,0.1442899933614145,0.5198794116056366,31,2.029265937931294,1.1552190658149368
1056,RT Ponting,0.6905543847239044,0.1770123705377595,0.5193737133285228,32,1.9948211251118284,1.1936458590769785
167,BC Lara,0.6950525709513083,0.167457663795161,0.5191876018992593,33,2.0038144136022162,1.182295235232102
828,Misbah-ul-Haq,0.7527905727225445,0.0463200729685482,0.5173004061378791,34,2.1229159096384467,1.0474096048123276
777,MK Pandey,0.6871868678143893,0.1742050601217832,0.516192931916854,35,1.9881148293612698,1.190299623782041
1049,RR Rossouw,0.6437860519541736,0.2603693282594149,0.515980477389254,36,1.9036746638720687,1.297409168060966
180,BM Duckett,0.5923658148905248,0.3549200610335268,0.5132172302715254,37,1.8082613705708208,1.4260666514306686
1152,SS Iyer,0.6428004869131968,0.2525471602830511,0.5127160447031482,38,1.9017993929264998,1.2873002041652806
1143,SPD Smith,0.6807110943597823,0.1625773374477562,0.5079998420557735,39,1.9752818447218066,1.1765393054773634
508,Ibrahim Zadran,0.7060537597027092,0.1045044001397591,0.5055373065150591,40,2.0259804570474738,1.110160278715851
461,HG Munsey,0.6533411390727701,0.2096709894916517,0.5054510892123973,41,1.921951621033302,1.233272233675315
521,Ishan Kishan,0.6252285919089227,0.263387128393177,0.5046147707370074,42,1.8686730721575942,1.3013304033982185
853,Mohammad Yousuf,0.7049259998952908,0.1023105330550508,0.5040541776152109,43,2.0236969255969193,1.107727404298974
411,GC Smith,0.6686477139511184,0.1733570903907405,0.5035508394309924,44,1.9515964188008403,1.1892907135533248
939,P Nissanka,0.658797035099764,0.1859516454659756,0.5011819052218345,45,1.9324662465160525,1.2043640225085044
127,Anshuman Rath,0.6957958030395551,0.1064518859128344,0.4993478306639816,46,2.005304266357902,1.112324406684708
72,AM Tribe,0.6933424276353697,0.1004470056271569,0.49571062029929874,47,2.0003905322747504,1.1056650461257793
52,AJ Finch,0.6416736708505237,0.2008078422834917,0.494718394661513,48,1.8996576217402759,1.2223898576100394
701,LRPL Taylor,0.6541827092637317,0.1655959535469442,0.49132045735813584,49,1.923569759018878,1.180096191702341
1080,S Dhawan,0.6225372992075847,0.2238909710332007,0.4896551898161234,50,1.8636506873425587,1.2509346238833892
416,GD Phillips,0.5774352903243758,0.3004136665863985,0.4850947490783834,51,1.7814636297315625,1.3504173145709297
152,B McMullen,0.623810430398219,0.2066114237802401,0.48474409485889275,52,1.866024870163477,1.2295047226490567
319,DJ Malan,0.6581988791545066,0.1357482291244399,0.4840486624778177,53,1.9313106759818368,1.1453934805699215
952,PD Salt,0.5589287644692608,0.3311022440017803,0.4829865909801006,54,1.74879812184074,1.3925021600232763
578,JM Bairstow,0.6018765190772226,0.2424554613528328,0.48206949983575936,55,1.8255412512232505,1.2743744889836925
499,IA Karim,0.6990963071180765,0.0434218057712915,0.48053814000248146,56,2.0119337155116157,1.0443783267613613
105,Abid Ali,0.6462556963890926,0.1471005714730918,0.4798706547504257,57,1.9083818735862386,1.158470466252631
518,Inzamam-ul-Haq,0.6631041774532035,0.108498170036112,0.478235508314173,58,1.940807604545871,1.1146028688534755
334,DM Jones,0.6824743899756402,0.0653309588699175,0.4767599129403994,59,1.978767923128828,1.0675122685803506
1,A Bagai,0.6963344826011706,0.0368737263830235,0.4765142305284549,60,2.006384773778513,1.0375619958597777
1292,V Sehwag,0.5442488496153477,0.3403898962734755,0.47629586516805694,61,1.7233134285400622,1.4054954811969003
545,JC Buttler,0.5764843783669237,0.2683493251464529,0.4737726939601001,62,1.7797704198386397,1.3078039090218918
816,MW Machan,0.6475229625862254,0.1197728481170679,0.47160625776317294,63,1.910801834469304,1.127240767632616
343,DPMD Jayawardene,0.636323499705693,0.1374823415086054,0.4700431136399971,64,1.889521268139508,1.1473814447678128
30,AC Gilchrist,0.5462993667707716,0.313478440337371,0.4686923912929714,65,1.726850737706601,1.3681759650316014
1000,R Ravindra,0.5660296981676031,0.2706987977682672,0.46758606470115777,66,1.7612604159520768,1.3108801708822637
351,DS Lehmann,0.6132326133742462,0.1759004701290463,0.4674552322925129,67,1.8463904283658712,1.1923193813506379
62,AK Markram,0.5754221201548839,0.2514184733243267,0.4674209045446982,68,1.7778808478789678,1.2858480648723778
973,PP Shaw,0.505790235228596,0.3888241876068312,0.46680155268800777,69,1.658295446298997,1.4752451621493383
345,DR Martyn,0.6469112556869588,0.1057038377448049,0.4665087830395742,70,1.9096333412281528,1.1114926455875016
164,BB McCullum,0.5759094639280068,0.2470284341106177,0.4662824539888771,71,1.7787474982007023,1.2802155140502895
1169,Saeed Anwar,0.6221482757070288,0.1429839837416986,0.4624268450519187,72,1.8629258244318505,1.1537113233794738
172,BJ Bennett,0.5790147283333755,0.2284598416999935,0.4621630994555815,73,1.784279564311673,1.2566630586664638
1256,TM Dilshan,0.5960366248921898,0.1939527086535367,0.46200865281263875,74,1.8149113524382232,1.2140388680659004
34,AD Hales,0.5852690443129742,0.2108217309980304,0.46045327320799295,75,1.7954739827273227,1.2346922280898285
21,AA Jangoo,0.6094002023412358,0.159938855507779,0.4595797533967502,76,1.839327843325606,1.1734391194591154
