dataset,metric,label,format,n_nonnull,n_zero_or_negative_adjusted,epsilon_used,raw_skew,log_skew,raw_abs_skew,log_abs_skew,raw_qq_r2,log_qq_r2
batting,avg,Batting Average,ODI,2852,57,0.165,1.0440744564368232,-1.8406610998597843,1.0440744564368232,1.8406610998597843,0.939352702541658,0.8499300947846932
batting,avg,Batting Average,Test,3160,46,0.125,1.1501131117998162,-1.8959187871353427,1.1501131117998162,1.8959187871353427,0.9308876101435642,0.856294905391765
batting,avg,Batting Average,T20,4165,148,0.1,1.3016532154741356,-1.8271172226365517,1.3016532154741356,1.8271172226365517,0.9190280240551368,0.8307397722670742
batting,sr,Batting Strike Rate,ODI,2984,68,2.17,0.7269443890018626,-2.9657927681743153,0.7269443890018626,2.9657927681743153,0.9528857441087072,0.7111447806334892
batting,sr,Batting Strike Rate,Test,1010,0,1.515,0.29885792602296063,-1.43902233266391,0.29885792602296063,1.43902233266391,0.9882035771791994,0.9195992409416747
batting,sr,Batting Strike Rate,T20,4441,165,2.0,0.9690963047867996,-2.7770710011922173,0.9690963047867996,2.7770710011922173,0.9415389288819661,0.6890159796758973
bowling,econ,Bowling Economy,ODI,2279,4,0.5,4.348233235423731,-0.47641799793592426,4.348233235423731,0.47641799793592426,0.6933028553110895,0.8757986074736426
bowling,econ,Bowling Economy,Test,2398,15,0.165,1.9564647055050752,-2.3872771193540947,1.9564647055050752,2.3872771193540947,0.8690145364643298,0.8232145168608489
bowling,econ,Bowling Economy,T20,3306,2,0.5,3.740462932475028,-0.6458196654224991,3.740462932475028,0.6458196654224991,0.7744682697653543,0.9129578444086958
bowling,avg,Bowling Average,ODI,1931,0,0.5,3.038559892200238,-0.40234399670603327,3.038559892200238,0.40234399670603327,0.7278953223583952,0.9280620947175855
bowling,avg,Bowling Average,Test,1946,3,0.5,2.9956899844572398,-0.5303775928015797,2.9956899844572398,0.5303775928015797,0.7208788570723806,0.9317276902191403
bowling,avg,Bowling Average,T20,2825,1,0.25,3.7068926984494577,-0.4815182644228201,3.7068926984494577,0.4815182644228201,0.7176892344932319,0.9494104948970308
bowling,sr,Bowling Strike Rate,ODI,1931,0,1.0,2.6691206592240464,-0.34420578708648925,2.6691206592240464,0.34420578708648925,0.7734668052908152,0.9410713684973522
bowling,sr,Bowling Strike Rate,Test,1946,0,1.0,3.1692699474206596,0.0678546745253505,3.1692699474206596,0.0678546745253505,0.7211302595749027,0.9646507947359827
bowling,sr,Bowling Strike Rate,T20,2825,0,1.0,3.309227144170992,0.1760589254817056,3.309227144170992,0.1760589254817056,0.7428628902443342,0.9676716533985039
