rank,player_name,composite_score
220,KC Wessels,1.3282
221,MJG Rippon,1.328
222,PR Stirling,1.3278
223,CS MacLeod,1.3277
224,T Stubbs,1.3264
225,K Verreynne,1.3247
226,JJ Smit,1.3244
227,JN Rhodes,1.324
228,SO Hetmyer,1.3223
229,MA Taylor,1.3216
230,HH Gibbs,1.3208
231,Mahmudullah,1.3207
232,AN Kervezee,1.3194
233,CA Ingram,1.3192
234,RA Jadeja,1.3182
235,JW Jenner,1.3178
236,AJ Stewart,1.315
237,AR Nurse,1.3138
238,DJ Hooda,1.3133
239,G Singh,1.3112
240,SP Fleming,1.3107
241,A Johnson,1.3096
242,RS Bopara,1.3088
243,Sharjeel Khan,1.3081
244,PJ Hughes,1.3076
245,Yasir Hameed,1.3066
246,Litton Das,1.3064
247,Azmatullah Omarzai,1.3063
248,AM Rahane,1.3061
249,N Dutta,1.3054
250,SR Taylor,1.3046
251,T Banton,1.3043
252,SP Krishnamurthi,1.3025
253,LJ Tucker,1.3017
254,H Thaker,1.3014
255,SO Tikolo,1.2994
256,CG Williams,1.2993
257,PD Collingwood,1.2984
258,CJ Anderson,1.2978
259,HH Dippenaar,1.297
260,NO Miller,1.2958
261,Mushfiqur Rahim,1.2941
262,Mohammad Shahzad,1.2924
263,V Aravind,1.2923
264,GA Hick,1.2922
265,Fawad Alam,1.2914
266,AD Russell,1.2911
267,JA Rudolph,1.291
268,Haris Sohail,1.2901
269,Tanzid Hasan,1.2876
270,JM Vince,1.2837
271,RR Hendricks,1.2833
272,Aamer Sohail,1.2829
273,NS Dhaliwal,1.2822
274,JAD Lawrenson,1.281
275,KNA Bandara,1.2805
276,MA Atherton,1.2798
277,MW Goodwin,1.2796
278,GR Marsh,1.279
279,JDS Neesham,1.278
280,RK Paudel,1.277
281,Mohammad Nadeem,1.2768
282,Mohammad Saifuddin,1.2764
282,LD Chandimal,1.2764
284,SB Styris,1.2754
285,TP Ura,1.2747
286,Imad Wasim,1.2738
287,Sediqullah Atal,1.2726
288,SV Manjrekar,1.2719
289,Aaron Jones,1.2709
290,DJ Hussey,1.2707
291,BR McDermott,1.2689
292,DL Houghton,1.2681
293,JL Smith,1.2678
294,MP Vaughan,1.2676
295,Zeeshan Maqsood,1.2671
296,M van Lingen,1.2668
297,C de Grandhomme,1.2632
298,Nizakat Khan,1.2613
298,DS Airee,1.2613
300,SE Marsh,1.2599
301,Asghar Afghan,1.2597
302,CL Cairns,1.2585
302,Pargat Singh,1.2585
304,LE Bosman,1.2583
305,BA King,1.2574
306,JWA Taylor,1.2561
307,A Vala,1.2551
308,KA Pollard,1.2545
309,Aasif Sheikh,1.254
310,CR Ervine,1.2539
310,MJ Prior,1.2539
312,Najmul Hossain Shanto,1.2512
313,NR Kirton,1.2461
314,CO Obuya,1.2459
315,BFW de Leede,1.2454
316,MA Jones,1.245
317,N Dickwella,1.2438
318,Shahid Afridi,1.2427
318,AN Petersen,1.2427
320,JD Campbell,1.2414
320,MS Wade,1.2414
322,HJH Marshall,1.241
323,DM Bravo,1.2406
324,T Taibu,1.2398
325,JC Adams,1.2393
326,MW Gatting,1.2376
327,PA Jaques,1.2373
328,DAS Gunaratne,1.2368
329,CB Lambert,1.2366
330,DM de Silva,1.2361
331,N Hussain,1.2358
332,Jatinder Singh,1.2312
333,V Shukla,1.2301
334,KD Karthik,1.2295
335,KJ O'Brien,1.2294
336,GS Ballance,1.229
337,Chirag Suri,1.2265
338,MJ Slater,1.2262
339,R Chopra,1.226
340,Shadab Khan,1.2249
340,SM Davies,1.2249
342,K Bhurtel,1.2247
342,S Ramesh,1.2247
344,WA Young,1.2245
345,M Kaif,1.2242
346,PN Kirsten,1.2233
347,C Kieswetter,1.2232
348,H Masakadza,1.2223
349,RV Uthappa,1.219
350,SF Mire,1.2187
351,Hazratullah Zazai,1.2183
352,Mohammad Nabi,1.2178
353,Z Crawley,1.2161
354,KR Mayers,1.216
355,Nasir Jamshed,1.2159
356,BJ Haddin,1.2155
358,WG Jacks,1.2128
358,RP Arnold,1.2128
358,Imran Nazir,1.2128
360,JDP Oram,1.2125
361,JP Greaves,1.2123
362,MG Bracewell,1.2101
363,OA Shah,1.2097
364,D Wiese,1.2094
365,G Fowler,1.2093
366,Asif Ali,1.2088
367,JM Kemp,1.2078
368,CN Ackermann,1.2074
369,KNM Fernando,1.2071
369,KU Carty,1.2071
371,Kamran Akmal,1.2064
372,HL Carlyon,1.2053
